Time,AC Primary Load,Grid Purchases,Grid Sales,Grid Demand Limit,Total Demand Rate,Total Consumption Rate,Grid Sellback Rate,:Energy Charge,Highway Charger Served,Total EV Charger Served,CAT-50kVA-50Hz-PP Power Output,CAT-50kVA-50Hz-PP Operating Status,CAT-50kVA-50Hz-PP Fuel,Total Electrical Load Served,Renewable Penetration,Total Renewable Power Output,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,,AC Required Operating Capacity new values
01/02/2021 09:00,81.13416,123.6342,0,173.2163,6.527055,0.071407,0.071407,1,42.5,42.5,0,0,0,123.6342,0,0,148.4091,0,148.4091,0,,118.72728
01/02/2021 10:00,58.42137,90.92137,0,173.2163,6.527055,0.071407,0.071407,1,32.5,32.5,0,0,0,90.92137,0,0,114.0607,0,114.0607,0,,91.24856
01/02/2021 11:00,54.60772,112.1077,0,173.2163,6.527055,0.071407,0.071407,1,57.5,57.5,0,0,0,112.1077,0,0,136.3064,0,136.3064,0,,109.04512
01/02/2021 12:00,53.6092,73.60921,0,173.2163,6.527055,0.071407,0.071407,1,20,20,0,0,0,73.60921,0,0,95.88293,0,95.88293,0,,76.706344
01/02/2021 13:00,52.80069,70.3007,0,173.2163,6.527055,0.071407,0.071407,1,17.5,17.5,0,0,0,70.3007,0,0,92.409,0,92.409,0,,73.9272
01/02/2021 14:00,51.76129,75.09462,0,173.2163,6.527055,0.071407,0.071407,1,23.33333,23.33333,0,0,0,75.09462,0,0,97.44262,0,97.44262,0,,77.954096
01/02/2021 15:00,51.55124,66.55124,0,173.2163,6.527055,0.071407,0.071407,1,15,15,0,0,0,66.55124,0,0,88.47206,0,88.47206,0,,70.777648
01/02/2021 16:00,62.91018,102.9102,0,173.2163,6.527055,0.071407,0.071407,1,40,40,0,0,0,102.9102,0,0,126.649,0,126.649,0,,101.3192
01/02/2021 17:00,73.58958,73.58958,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,73.58958,0,0,95.86232,0,95.86232,0,,76.689856
01/02/2021 18:00,86.7674,104.2674,0,173.2163,6.527055,0.071407,0.071407,1,17.5,17.5,0,0,0,104.2674,0,0,128.074,0,128.074,0,,102.4592
01/02/2021 19:00,86.64089,104.9742,0,173.2163,6.527055,0.071407,0.071407,1,18.33333,18.33333,0,0,0,104.9742,0,0,128.8162,0,128.8162,0,,103.05296
01/02/2021 20:00,91.95555,106.1222,0,173.2163,6.527055,0.071407,0.071407,1,14.16667,14.16667,0,0,0,106.1222,0,0,130.0216,0,130.0216,0,,104.01728
01/02/2021 21:00,90.27595,90.27595,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,90.27595,0,0,113.383,0,113.383,0,,90.7064
01/02/2021 22:00,70.97053,70.97053,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,70.97053,0,0,93.11232,0,93.11232,0,,74.489856
01/02/2021 23:00,52.45079,52.45079,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,52.45079,0,0,73.6666,0,73.6666,0,,58.93328
01/03/2021 00:00,48.95531,48.95531,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,48.95531,0,0,69.99634,0,69.99634,0,,55.997072
01/03/2021 01:00,50.13909,50.13909,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,50.13909,0,0,71.23931,0,71.23931,0,,56.991448
01/03/2021 02:00,46.28816,46.28816,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,46.28816,0,0,67.19584,0,67.19584,0,,53.756672
01/03/2021 03:00,46.2264,46.2264,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,46.2264,0,0,67.13098,0,67.13098,0,,53.704784
01/03/2021 04:00,48.22961,48.22961,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,48.22961,0,0,69.23436,0,69.23436,0,,55.387488
01/03/2021 05:00,52.94132,77.94132,0,173.2163,6.527055,0.071407,0.071407,1,25,25,0,0,0,77.94132,0,0,100.4316,0,100.4316,0,,80.34528
01/03/2021 06:00,71.76421,135.0975,0,173.2163,6.527055,0.071407,0.071407,1,63.33333,63.33333,0,0,0,135.0975,0,0,160.4457,0,160.4457,0,,128.35656
01/03/2021 07:00,83.29026,93.29026,0,173.2163,6.527055,0.071407,0.071407,1,10,10,0,0,0,93.29026,0,0,116.548,0,116.548,0,,93.2384
